variable,dta_variable_label,question_text,codebook_page,question_text_filled
dofirst,here are the things you said {#secl_name} should do... interviewer: read list,,,here are the things you said {#secl_name} should do... interviewer: read list
dsndntpay,reparations for descendants of slaves,,,reparations for descendants of slaves
dwelown,does r own or rent home?,,,does r own or rent home?
dwelown16,did rs family own or rent home when r was age 16,,,did rs family own or rent home when r was age 16
earnrs,how many in family earned money?,,,how many in family earned money?
econstat,what do you think about the state of the economy these days in the united states,,,what do you think about the state of the economy these days in the united states
educ,highest year of school completed,,,highest year of school completed
eductech,are educated or uneducated benefiting more from digital tech,,,are educated or uneducated benefiting more from digital tech
emonitor1,should government be able to monitor online communication,,,should government be able to monitor online communication
eqwlth,should govt reduce income differences,,,should govt reduce income differences
eth1,1st mentioned country of origin,,,1st mentioned country of origin
ethnic,country of family origin,,,country of family origin
ethworld1,from what part of the world did your ancestors come? europe,,,from what part of the world did your ancestors come? europe
ethworld2,from what part of the world did your ancestors come? africa,,,from what part of the world did your ancestors come? africa
ethworld3,from what part of the world did your ancestors come? asia,,,from what part of the world did your ancestors come? asia
ethworld4,from what part of the world did your ancestors come? middle east,,,from what part of the world did your ancestors come? middle east
ethworld5,from what part of the world did your ancestors come? south america,,,from what part of the world did your ancestors come? south america
ethworld6,from what part of the world did your ancestors come? central america,,,from what part of the world did your ancestors come? central america
ethworld7,from what part of the world did your ancestors come? north america,,,from what part of the world did your ancestors come? north america
ethworld8,from what part of the world did your ancestors come? caribbean,,,from what part of the world did your ancestors come? caribbean
ethworld9,from what part of the world did your ancestors come? oceania,,,from what part of the world did your ancestors come? oceania
evwork,ever work as long as one year,,,ever work as long as one year
experts,better to rely on opinions of experts than ordinary people,,,better to rely on opinions of experts than ordinary people
fair,people fair or try to take advantage,,,people fair or try to take advantage
fairnv,people fair or try to take advantage (no volunteered response on web),,,people fair or try to take advantage (no volunteered response on web)
fairv,people fair or try to take advantage (with volunteered resposne on web),,,people fair or try to take advantage (with volunteered resposne on web)
famdif16,reason not living with parents,,,reason not living with parents
famdif16y,which of the following best describes your situation?,,,which of the following best describes your situation?
famgen,number of family generations in household,,,number of family generations in household
famgen_exp,number of family generations in household (experimental version),,,number of family generations in household (experimental version)
family16,living with parents when 16 yrs old,,,living with parents when 16 yrs old
